"SessionId","Scenario","VMName","Timestamp","Difficulty","Status","Message","Details"
"20251202-144624","BruteForce","CAS-LAB-01","02/12/2025 14:46:41","Hard","Succeeded","Simulated brute-force (30 attempts) on CAS-LAB-01 (guest login skipped).","GuestLog=Skipped; Delay(s)=3; Educational: Brute force attempts generate repeated failed logins; monitor for abnormal login patterns."
"20251202-144624","PrivilegeEscalation","CAS-LAB-01","02/12/2025 14:46:41","Hard","Succeeded","Privilege escalation check skipped guest login on CAS-LAB-01.","GuestLog=Skipped; Delay(s)=3; Educational: Checks admin group membership; look for elevation attempts and token use."
"20251202-144624","PortScan","CAS-LAB-01","02/12/2025 14:46:41","Hard","Succeeded","Port scan skipped guest access for CAS-LAB-01.","TargetIP=Skipped; PortsChecked=Skipped; Delay(s)=3; Educational: Port scans enumerate exposed services; monitor for connection bursts on common ports."
"20251202-144624","LateralMovement","CAS-LAB-01","02/12/2025 14:46:41","Hard","Succeeded","Simulated lateral movement hops on CAS-LAB-01 (host-only).","Hops=RDP:3389->ServiceAccount|SMB:445->AdminShare|WMI:135->SvcMgmt|WinRM:5985->Automation; GuestLog=Skipped; Delay(s)=3; Educational: Lateral movement often leaves login events (4624/4625), service creations, and SMB/WMI traffic."
"20251202-144624","BruteForce","CAS-LAB-02","02/12/2025 14:46:42","Hard","Succeeded","Simulated brute-force (30 attempts) on CAS-LAB-02 (guest login skipped).","GuestLog=Skipped; Delay(s)=3; Educational: Brute force attempts generate repeated failed logins; monitor for abnormal login patterns."
"20251202-144624","PrivilegeEscalation","CAS-LAB-02","02/12/2025 14:46:42","Hard","Succeeded","Privilege escalation check skipped guest login on CAS-LAB-02.","GuestLog=Skipped; Delay(s)=3; Educational: Checks admin group membership; look for elevation attempts and token use."
"20251202-144624","PortScan","CAS-LAB-02","02/12/2025 14:46:42","Hard","Succeeded","Port scan skipped guest access for CAS-LAB-02.","TargetIP=Skipped; PortsChecked=Skipped; Delay(s)=3; Educational: Port scans enumerate exposed services; monitor for connection bursts on common ports."
"20251202-144624","LateralMovement","CAS-LAB-02","02/12/2025 14:46:42","Hard","Succeeded","Simulated lateral movement hops on CAS-LAB-02 (host-only).","Hops=RDP:3389->ServiceAccount|SMB:445->AdminShare|WMI:135->SvcMgmt|WinRM:5985->Automation; GuestLog=Skipped; Delay(s)=3; Educational: Lateral movement often leaves login events (4624/4625), service creations, and SMB/WMI traffic."
"20251202-144624","BruteForce","CAS-LAB-03","02/12/2025 14:46:43","Hard","Succeeded","Simulated brute-force (30 attempts) on CAS-LAB-03 (guest login skipped).","GuestLog=Skipped; Delay(s)=3; Educational: Brute force attempts generate repeated failed logins; monitor for abnormal login patterns."
"20251202-144624","PrivilegeEscalation","CAS-LAB-03","02/12/2025 14:46:43","Hard","Succeeded","Privilege escalation check skipped guest login on CAS-LAB-03.","GuestLog=Skipped; Delay(s)=3; Educational: Checks admin group membership; look for elevation attempts and token use."
"20251202-144624","PortScan","CAS-LAB-03","02/12/2025 14:46:43","Hard","Succeeded","Port scan skipped guest access for CAS-LAB-03.","TargetIP=Skipped; PortsChecked=Skipped; Delay(s)=3; Educational: Port scans enumerate exposed services; monitor for connection bursts on common ports."
"20251202-144624","LateralMovement","CAS-LAB-03","02/12/2025 14:46:43","Hard","Succeeded","Simulated lateral movement hops on CAS-LAB-03 (host-only).","Hops=RDP:3389->ServiceAccount|SMB:445->AdminShare|WMI:135->SvcMgmt|WinRM:5985->Automation; GuestLog=Skipped; Delay(s)=3; Educational: Lateral movement often leaves login events (4624/4625), service creations, and SMB/WMI traffic."
"20251202-144624","BruteForce","CAS-LAB-04","02/12/2025 14:46:44","Hard","Succeeded","Simulated brute-force (30 attempts) on CAS-LAB-04 (guest login skipped).","GuestLog=Skipped; Delay(s)=3; Educational: Brute force attempts generate repeated failed logins; monitor for abnormal login patterns."
"20251202-144624","PrivilegeEscalation","CAS-LAB-04","02/12/2025 14:46:44","Hard","Succeeded","Privilege escalation check skipped guest login on CAS-LAB-04.","GuestLog=Skipped; Delay(s)=3; Educational: Checks admin group membership; look for elevation attempts and token use."
"20251202-144624","PortScan","CAS-LAB-04","02/12/2025 14:46:44","Hard","Succeeded","Port scan skipped guest access for CAS-LAB-04.","TargetIP=Skipped; PortsChecked=Skipped; Delay(s)=3; Educational: Port scans enumerate exposed services; monitor for connection bursts on common ports."
"20251202-144624","LateralMovement","CAS-LAB-04","02/12/2025 14:46:44","Hard","Succeeded","Simulated lateral movement hops on CAS-LAB-04 (host-only).","Hops=RDP:3389->ServiceAccount|SMB:445->AdminShare|WMI:135->SvcMgmt|WinRM:5985->Automation; GuestLog=Skipped; Delay(s)=3; Educational: Lateral movement often leaves login events (4624/4625), service creations, and SMB/WMI traffic."
